"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.1.1 Diefstal/inbraak woning";"2013";"Passeerdersgrachtbuurt";"       6"
"1.1.1 Diefstal/inbraak woning";"2014";"Passeerdersgrachtbuurt";"       6"
"1.1.1 Diefstal/inbraak woning";"2015";"Passeerdersgrachtbuurt";"       4"
"1.1.1 Diefstal/inbraak woning";"2016";"Passeerdersgrachtbuurt";"       5"
"1.1.1 Diefstal/inbraak woning";"2017";"Passeerdersgrachtbuurt";"       3"
"1.1.1 Diefstal/inbraak woning";"2018";"Passeerdersgrachtbuurt";"       0"
"1.1.1 Diefstal/inbraak woning";"2019";"Passeerdersgrachtbuurt";"       4"
"1.1.1 Diefstal/inbraak woning";"2020";"Passeerdersgrachtbuurt";"       6"
"1.1.1 Diefstal/inbraak woning";"2021";"Passeerdersgrachtbuurt";"       4"
"1.1.1 Diefstal/inbraak woning";"2022";"Passeerdersgrachtbuurt";"       7"
"1.1.1 Diefstal/inbraak woning";"2023";"Passeerdersgrachtbuurt";"       2"
"1.1.1 Diefstal/inbraak woning";"2012";"Grachtengordel-West";"      51"
"1.1.1 Diefstal/inbraak woning";"2013";"Grachtengordel-West";"      41"
"1.1.1 Diefstal/inbraak woning";"2014";"Grachtengordel-West";"      62"
"1.1.1 Diefstal/inbraak woning";"2015";"Grachtengordel-West";"      65"
"1.1.1 Diefstal/inbraak woning";"2016";"Grachtengordel-West";"      64"
"1.1.1 Diefstal/inbraak woning";"2017";"Grachtengordel-West";"      30"
"1.1.1 Diefstal/inbraak woning";"2018";"Grachtengordel-West";"      22"
"1.1.1 Diefstal/inbraak woning";"2019";"Grachtengordel-West";"      50"
"1.1.1 Diefstal/inbraak woning";"2020";"Grachtengordel-West";"      34"
"1.1.1 Diefstal/inbraak woning";"2021";"Grachtengordel-West";"      24"
"1.1.1 Diefstal/inbraak woning";"2022";"Grachtengordel-West";"      41"
"1.1.1 Diefstal/inbraak woning";"2023";"Grachtengordel-West";"      34"
"1.1.1 Diefstal/inbraak woning";"2012";"Langestraat e.o.";"      17"
"1.1.1 Diefstal/inbraak woning";"2013";"Langestraat e.o.";"      11"
"1.1.1 Diefstal/inbraak woning";"2014";"Langestraat e.o.";"      20"
"1.1.1 Diefstal/inbraak woning";"2015";"Langestraat e.o.";"      19"
"1.1.1 Diefstal/inbraak woning";"2016";"Langestraat e.o.";"      23"
"1.1.1 Diefstal/inbraak woning";"2017";"Langestraat e.o.";"      13"
"1.1.1 Diefstal/inbraak woning";"2018";"Langestraat e.o.";"       7"
"1.1.1 Diefstal/inbraak woning";"2019";"Langestraat e.o.";"      17"
"1.1.1 Diefstal/inbraak woning";"2020";"Langestraat e.o.";"       7"
"1.1.1 Diefstal/inbraak woning";"2021";"Langestraat e.o.";"       8"
"1.1.1 Diefstal/inbraak woning";"2022";"Langestraat e.o.";"      16"
"1.1.1 Diefstal/inbraak woning";"2023";"Langestraat e.o.";"      14"
"1.1.1 Diefstal/inbraak woning";"2012";"Leliegracht e.o.";"      17"
"1.1.1 Diefstal/inbraak woning";"2013";"Leliegracht e.o.";"      12"
"1.1.1 Diefstal/inbraak woning";"2014";"Leliegracht e.o.";"      19"
"1.1.1 Diefstal/inbraak woning";"2015";"Leliegracht e.o.";"      20"
"1.1.1 Diefstal/inbraak woning";"2016";"Leliegracht e.o.";"      19"
"1.1.1 Diefstal/inbraak woning";"2017";"Leliegracht e.o.";"       4"
"1.1.1 Diefstal/inbraak woning";"2018";"Leliegracht e.o.";"       4"
"1.1.1 Diefstal/inbraak woning";"2019";"Leliegracht e.o.";"       9"
"1.1.1 Diefstal/inbraak woning";"2020";"Leliegracht e.o.";"      11"
"1.1.1 Diefstal/inbraak woning";"2021";"Leliegracht e.o.";"       5"
"1.1.1 Diefstal/inbraak woning";"2022";"Leliegracht e.o.";"       7"
"1.1.1 Diefstal/inbraak woning";"2023";"Leliegracht e.o.";"       5"
"1.1.1 Diefstal/inbraak woning";"2012";"Felix Meritisbuurt";"      14"
"1.1.1 Diefstal/inbraak woning";"2013";"Felix Meritisbuurt";"      15"
"1.1.1 Diefstal/inbraak woning";"2014";"Felix Meritisbuurt";"      20"
"1.1.1 Diefstal/inbraak woning";"2015";"Felix Meritisbuurt";"      18"
"1.1.1 Diefstal/inbraak woning";"2016";"Felix Meritisbuurt";"      14"
