"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.3.1 Ongevallen (weg)";"2019";"Grachtengordel-West";"      41"
"1.3.1 Ongevallen (weg)";"2020";"Grachtengordel-West";"      46"
"1.3.1 Ongevallen (weg)";"2021";"Grachtengordel-West";"      42"
"1.3.1 Ongevallen (weg)";"2022";"Grachtengordel-West";"      66"
"1.3.1 Ongevallen (weg)";"2023";"Grachtengordel-West";"      62"
"1.3.1 Ongevallen (weg)";"2012";"Langestraat e.o.";"       4"
"1.3.1 Ongevallen (weg)";"2013";"Langestraat e.o.";"       3"
"1.3.1 Ongevallen (weg)";"2014";"Langestraat e.o.";"      12"
"1.3.1 Ongevallen (weg)";"2015";"Langestraat e.o.";"      14"
"1.3.1 Ongevallen (weg)";"2016";"Langestraat e.o.";"      16"
"1.3.1 Ongevallen (weg)";"2017";"Langestraat e.o.";"      10"
"1.3.1 Ongevallen (weg)";"2018";"Langestraat e.o.";"      11"
"1.3.1 Ongevallen (weg)";"2019";"Langestraat e.o.";"      11"
"1.3.1 Ongevallen (weg)";"2020";"Langestraat e.o.";"      11"
"1.3.1 Ongevallen (weg)";"2021";"Langestraat e.o.";"       5"
"1.3.1 Ongevallen (weg)";"2022";"Langestraat e.o.";"       8"
"1.3.1 Ongevallen (weg)";"2023";"Langestraat e.o.";"       8"
"1.3.1 Ongevallen (weg)";"2012";"Leliegracht e.o.";"       7"
"1.3.1 Ongevallen (weg)";"2013";"Leliegracht e.o.";"      11"
"1.3.1 Ongevallen (weg)";"2014";"Leliegracht e.o.";"      13"
"1.3.1 Ongevallen (weg)";"2015";"Leliegracht e.o.";"      17"
"1.3.1 Ongevallen (weg)";"2016";"Leliegracht e.o.";"      11"
"1.3.1 Ongevallen (weg)";"2017";"Leliegracht e.o.";"      14"
"1.3.1 Ongevallen (weg)";"2018";"Leliegracht e.o.";"      12"
"1.3.1 Ongevallen (weg)";"2019";"Leliegracht e.o.";"      11"
"1.3.1 Ongevallen (weg)";"2020";"Leliegracht e.o.";"      13"
"1.3.1 Ongevallen (weg)";"2021";"Leliegracht e.o.";"      10"
"1.3.1 Ongevallen (weg)";"2022";"Leliegracht e.o.";"      10"
"1.3.1 Ongevallen (weg)";"2023";"Leliegracht e.o.";"      17"
"1.3.1 Ongevallen (weg)";"2012";"Felix Meritisbuurt";"      26"
"1.3.1 Ongevallen (weg)";"2013";"Felix Meritisbuurt";"      25"
"1.3.1 Ongevallen (weg)";"2014";"Felix Meritisbuurt";"      23"
"1.3.1 Ongevallen (weg)";"2015";"Felix Meritisbuurt";"      25"
"1.3.1 Ongevallen (weg)";"2016";"Felix Meritisbuurt";"      29"
"1.3.1 Ongevallen (weg)";"2017";"Felix Meritisbuurt";"      27"
"1.3.1 Ongevallen (weg)";"2018";"Felix Meritisbuurt";"      17"
"1.3.1 Ongevallen (weg)";"2019";"Felix Meritisbuurt";"      13"
"1.3.1 Ongevallen (weg)";"2020";"Felix Meritisbuurt";"      16"
"1.3.1 Ongevallen (weg)";"2021";"Felix Meritisbuurt";"      16"
"1.3.1 Ongevallen (weg)";"2022";"Felix Meritisbuurt";"      24"
"1.3.1 Ongevallen (weg)";"2023";"Felix Meritisbuurt";"      20"
"1.3.1 Ongevallen (weg)";"2012";"Leidsegracht-Noord";"       6"
"1.3.1 Ongevallen (weg)";"2013";"Leidsegracht-Noord";"      12"
"1.3.1 Ongevallen (weg)";"2014";"Leidsegracht-Noord";"      16"
