"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Europa (exclusief Nederland) (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Buiten Europa (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Het Funen";1275;655;625;215;155;335;420;155;770;395;90;25;670;215;390;670;80;180;140;210;;;;;625;285;130;205;2,1;17280
"Kadijken";2885;1470;1415;205;285;855;835;700;1845;735;230;80;1695;460;740;1690;150;265;310;475;;;;;1870;1165;455;250;1,5;16987
"Kazernebuurt";925;445;485;45;80;335;215;255;640;180;80;25;505;140;280;510;45;120;95;160;;;;;625;410;145;70;1,5;16946
"Havens-West";25;20;5;0;0;10;5;5;15;5;5;0;15;0;5;15;5;0;0;5;;;;;15;10;5;0;1,8;1
"Afrikahaven";5;5;0;0;0;0;0;0;0;5;0;0;5;0;0;5;0;0;0;0;;;;;0;0;0;0;2,5;
"Amerikahaven";5;5;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;5;;;;;5;5;0;0;1;
"Westhaven-Noord";5;5;0;0;0;5;0;0;5;0;0;0;5;5;0;5;5;0;5;0;;;;;5;0;0;0;3;
"Petroleumhaven";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;;;;;0;0;0;0;1;
"Vervoerscentrum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;
"Westhaven-Zuid";10;5;0;0;0;5;0;0;5;0;0;0;5;0;0;5;0;0;0;0;;;;;0;0;0;0;1,8;
"Coenhaven/Minervahaven";1535;990;545;20;830;590;90;0;1230;285;15;5;10;475;1050;10;5;5;475;1045;;;;;830;825;10;0;1;820
"Coenhaven";690;615;75;25;145;445;80;0;400;275;10;5;0;5;680;0;0;0;10;680;;;;;5;5;0;0;1;1357
"Vlothaven";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;
"Minervahaven-Noordoost";825;365;460;0;685;130;10;0;825;0;0;0;5;465;355;5;0;0;460;350;;;;;825;815;5;0;1;7415
"Minervahaven-Noordwest";5;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;;;;;5;0;0;0;1;
"Minervahaven-Zuidwest";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;
"Minervahaven-Zuidoost";10;5;5;0;0;10;0;0;5;0;0;0;5;0;5;0;0;0;5;5;;;;;5;5;5;0;1,4;75
"Alfa-driehoek";5;5;0;5;0;5;0;0;0;5;0;0;0;0;5;0;0;0;0;5;;;;;5;0;0;0;2,5;
"Hemknoop-Noord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;
"Sloterdijk-West";1145;620;530;80;65;850;125;35;935;165;45;5;525;305;315;525;50;95;260;225;;;;;660;280;300;70;1,7;956
"Isolatorbuurt";55;45;10;0;5;15;30;0;50;5;5;0;15;20;20;20;5;5;15;15;;;;;15;15;0;5;1,5;164
"Contactbuurt";15;10;5;0;5;10;0;5;15;0;0;0;5;5;10;5;0;0;5;5;;;;;5;0;5;0;2,3;48
"Woon- en Groengebied Sloterdijk";1075;570;505;75;55;825;95;35;875;155;35;5;505;280;290;505;45;85;240;200;;;;;630;265;295;70;1,7;2068
"Spaarndammerbuurt/Zeeheldenbuurt";10845;5330;5510;1270;955;4240;2830;1540;7500;2035;1040;265;4845;1830;4170;4845;525;1720;1300;2450;;;;;6445;3900;1265;1280;1,6;7930
"Hemknoop-Zuid";0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;1;
"Overbraker Binnenpolder";5;0;5;0;0;0;5;5;5;0;0;5;5;0;0;5;0;0;0;0;;;;;5;5;0;0;1,3;
"Zaanstraat emplacement";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;
"Spaarndammerbuurt-Noordwest";1920;925;990;240;135;825;515;200;1335;345;195;35;840;275;800;840;75;330;200;475;;;;;1125;620;240;260;1,7;16088
"Spaarndammerbuurt-Midden";1460;730;730;205;125;615;395;115;1040;295;110;20;645;270;545;650;80;235;185;310;;;;;840;500;150;195;1,7;25478
"Spaarndammerbuurt-Zuidwest";1840;915;930;185;170;730;370;385;1275;295;185;95;880;335;625;885;95;210;235;415;;;;;1090;725;200;170;1,5;24292
"Spaarndammerbuurt-Noordoost";2615;1310;1305;270;215;960;770;405;1775;500;280;60;1175;380;1070;1170;120;440;260;630;;;;;1660;1045;315;305;1,6;26273
"Zeeheldenbuurt";1965;945;1015;265;220;700;515;260;1355;380;190;35;825;360;775;825;85;350;275;425;;;;;1090;635;220;240;1,7;21479
"Westergasfabriek";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;5;0;0;0;3;
"Spaarndammerbuurt-Zuidoost";1030;505;530;110;85;405;260;170;720;215;80;20;470;215;350;465;65;150;150;200;;;;;630;370;135;120;1,6;21172
"Houthavens";5270;2635;2635;885;630;2035;1210;510;3500;1430;265;75;2960;1005;1305;2960;295;580;705;725;;;;;2780;1375;730;675;1,9;13082
"Houthavens-West";4625;2295;2330;850;575;1880;965;360;3110;1245;210;65;2580;890;1160;2580;260;520;630;640;;;;;2375;1140;610;625;1,9;12196
"Houthavens-Oost";640;345;300;30;55;160;245;150;395;185;50;15;385;115;140;390;40;60;75;85;;;;;405;235;120;50;1,6;27412
"De Kolenkit";12140;5970;6165;1965;1890;5110;2140;1025;8105;2995;800;240;2920;1825;7390;2915;335;3505;1490;3890;;;;;6380;3575;1200;1610;1,9;16845
"Kolenkitbuurt-Noord";5055;2560;2495;980;740;1980;1010;340;3240;1410;330;75;875;660;3515;880;115;1725;550;1790;;;;;2340;1115;430;805;2,2;17020
"Kolenkitbuurt-Zuid";2125;1045;1080;335;235;905;425;230;1305;615;150;60;510;265;1350;515;75;635;190;710;;;;;1000;450;260;300;2,1;17432
"Laan van Spartaan";2790;1335;1455;445;570;1225;375;175;2040;570;150;35;850;545;1395;850;85;635;460;760;;;;;1585;955;310;325;1,7;17451
