"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Personen met een migratieachtergrond/Westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Niet-westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Marokko (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Nederlandse Antillen en Aruba (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Suriname (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Turkije (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Overig niet-westers (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Westhaven Zuid";15;5;5;0;0;5;0;0;5;5;0;0;0;5;0;0;5;0;0;0;0;0;0;10;0;0;5;1,8;26
"Bedrijventerrein Sloterdijk";865;515;350;15;375;430;35;10;800;50;10;0;390;280;20;10;30;20;190;5;6;0;0;740;645;85;5;1,2;120
"Sloterdijk II";30;20;10;0;0;20;5;0;20;0;0;0;15;10;0;0;0;0;10;0;0;0;0;10;10;5;0;1,3;58
"Sloterdijk III Oost";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Sloterdijk III West";80;60;20;5;35;25;10;5;60;10;5;0;15;40;10;5;15;5;15;0;0;0;0;65;55;5;0;1,3;39
"De Heining";25;15;5;0;5;5;10;5;10;10;0;0;5;0;0;0;0;0;0;0;130;0;0;15;10;5;0;1,6;23
"Teleport";735;415;320;5;340;380;15;0;700;25;5;0;350;230;15;10;20;20;170;0;3;0;0;650;575;75;5;1,1;859
"Bretten Oost";0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2;
"Bretten West";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Houthavens";2395;1230;1165;410;135;980;670;200;1555;680;130;35;535;310;40;15;60;25;170;70;28;5;2;1265;580;360;325;1,9;7301
"Houthavens West";1740;890;850;355;95;815;390;80;1180;470;75;20;370;230;25;15;35;20;130;60;36;5;2;860;345;255;260;2;5700
"Houthavens Oost";655;340;315;60;40;165;275;115;375;215;55;15;165;75;10;5;20;5;35;5;8;0;3;405;230;105;65;1,6;28420
"Spaarndammer- en Zeeheldenbuurt";10785;5340;5450;1405;915;4225;2870;1365;7380;2035;1105;265;1980;3465;900;145;855;260;1305;135;13;90;8;6190;3630;1240;1320;1,7;7893
"Zeeheldenbuurt";2080;995;1090;325;190;820;525;225;1470;390;185;35;415;715;220;20;165;35;280;25;12;5;3;1090;605;240;245;1,8;22739
"Spaarndammerbuurt Noordoost";2755;1370;1385;335;255;950;890;335;1825;540;330;60;455;1000;260;45;230;100;365;35;13;15;6;1690;1055;275;360;1,6;27622
"Spaarndammerbuurt Zuidoost";1010;490;525;120;85;390;280;135;690;210;95;20;200;270;65;10;75;25;95;10;8;10;8;610;355;145;115;1,7;20653
"Spaarndammerbuurt Zuidwest";1675;835;840;205;100;660;340;365;1115;285;175;95;340;405;65;25;105;35;165;20;11;50;28;930;570;190;165;1,6;22078
"Spaarndammerbuurt Midden";1300;675;625;180;125;560;325;110;930;240;110;20;230;390;90;20;90;20;165;10;8;5;5;765;455;145;160;1,7;22653
"Spaarndammerbuurt Noordwest";1950;975;980;250;160;845;510;185;1340;370;210;35;330;690;200;25;180;50;235;40;18;10;4;1095;585;245;265;1,8;16388
"Westergasfabriek";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Overbraker Binnenpolder";5;5;5;0;5;5;0;0;5;5;0;0;5;5;0;0;0;0;0;0;0;0;0;5;5;0;0;1,4;
"Staatsliedenbuurt";13165;6605;6560;1495;1170;5710;3535;1250;9430;2490;1035;210;3040;3350;885;120;595;275;1470;170;13;45;3;7980;4740;1725;1510;1,7;27816
"De Wittenbuurt Noord";1385;695;685;175;115;580;350;160;940;300;115;30;285;350;95;10;50;40;155;20;12;5;4;835;495;180;155;1,7;21709
"De Wittenbuurt Zuid";885;440;450;70;90;235;325;160;565;210;90;20;180;240;70;10;45;5;110;15;12;5;5;560;350;115;100;1,6;24902
"Staatsliedenbuurt Noordoost";1210;605;600;105;100;360;365;285;695;280;165;70;215;420;110;10;95;30;170;15;14;10;10;755;460;160;130;1,6;20480
"Fannius Scholtenbuurt";3720;1875;1845;430;315;1725;990;255;2840;580;265;40;920;990;245;30;195;115;400;40;12;10;3;2320;1440;460;425;1,6;35855
"Westerstaatsman";2875;1435;1440;320;260;1520;665;115;2260;420;180;15;750;660;165;25;90;30;345;45;16;5;2;1800;1115;375;305;1,6;29234
